レース場,レース番号,レース種別,艇番,登録番号,選手名,年齢,支部,体重,級別,全国勝率,全国2連対率,当地勝率,当地2連対率,モーター番号,モーター2連対率,ボート番号,ボート2連対率
唐津,6,予選,5,5014,梶山涼斗,25,佐賀,53,B1,4.54,20.00,4.27,21.12,18,27.45,44,30.77
唐津,6,予選,6,4661,中島昂章,31,佐賀,51,A2,5.96,35.51,5.23,27.74,70,40.49,49,14.81
唐津,7,予選,1,3508,久富政弘,51,佐賀,54,B1,5.13,28.57,5.28,34.23,67,34.16,38,21.74
唐津,7,予選,2,3617,竹田広樹,49,佐賀,54,B1,4.11,24.10,4.22,26.57,62,34.52,62,20.00
唐津,7,予選,3,4320,峰　竜太,38,佐賀,51,A1,8.45,72.48,8.59,77.66,45,42.86,45,26.92
唐津,7,予選,4,3307,上瀧和則,54,佐賀,52,B1,5.59,40.58,5.79,41.46,58,37.65,50,23.08
唐津,7,予選,5,5142,常住　蓮,22,佐賀,52,A2,6.57,47.06,4.98,28.32,37,46.21,71,30.77
唐津,7,予選,6,5214,田中宏典,23,佐賀,59,B2,1.65,0.00,1.63,0.00,38,31.28,32,46.43
唐津,8,予選,1,3224,栗山繁洋,57,佐賀,52,B1,3.97,20.00,4.64,27.82,61,31.82,66,24.00
唐津,8,予選,2,4531,武富智亮,34,佐賀,52,A2,6.17,44.88,6.04,41.06,28,28.91,51,15.38
唐津,8,予選,3,4196,田中太一,41,佐賀,52,B1,5.09,31.63,5.12,31.34,17,34.81,60,34.78
唐津,8,予選,4,4503,上野真之,35,佐賀,52,A1,6.98,51.18,7.89,65.27,11,28.40,90,16.67
唐津,8,予選,5,5274,城間盛渚,21,福岡,53,B2,1.15,0.00,1.00,0.00,12,35.03,39,39.13
唐津,8,予選,6,3506,宮西真昭,51,佐賀,54,B2,3.78,8.22,3.89,10.96,65,33.70,73,25.00
唐津,9,予選,1,4222,山口高志,41,佐賀,51,B1,4.35,22.08,4.70,29.29,24,28.17,47,32.14
唐津,9,予選,2,3974,深山祐二,46,佐賀,53,B1,4.72,29.07,4.80,30.77,59,36.11,53,46.15
唐津,9,予選,3,4445,宮地元輝,36,佐賀,55,A1,7.22,50.00,7.47,62.67,52,43.38,69,31.58
唐津,9,予選,4,4652,酒見峻介,37,佐賀,52,A2,6.13,43.65,5.81,38.67,43,31.95,55,22.22
唐津,9,予選,5,5212,西川拓利,24,福岡,56,B2,2.49,4.50,1.42,0.00,20,33.33,41,34.62
唐津,9,予選,6,5124,上瀧絢也,27,佐賀,50,B1,3.03,12.73,2.21,7.89,25,32.58,34,37.04
唐津,10,予選特賞,1,4072,森永　淳,42,佐賀,52,A1,6.39,49.56,6.48,53.33,46,40.24,57,44.44
唐津,10,予選特賞,2,5084,末永和也,24,佐賀,53,A1,7.29,56.30,6.03,43.17,35,31.25,68,4.35
唐津,10,予選特賞,3,4006,小野勇作,44,佐賀,51,B1,5.03,28.28,5.42,32.63,33,34.48,72,24.00
唐津,10,予選特賞,4,4027,松江秀徳,45,佐賀,54,A2,5.45,34.78,6.41,48.44,44,33.54,65,24.00
唐津,10,予選特賞,5,4718,北川太一,30,佐賀,51,A2,6.54,51.79,5.67,41.96,16,41.56,52,46.15
唐津,10,予選特賞,6,4873,蒲原健太,29,佐賀,53,B1,4.89,29.70,4.24,19.85,66,40.94,63,26.92
唐津,11,予選特選,1,4624,高田　明,37,佐賀,49,B1,5.67,38.26,6.77,53.23,31,44.22,46,25.93
唐津,11,予選特選,2,4949,横田貴満,30,佐賀,51,A2,5.53,32.89,5.16,30.46,54,32.94,54,38.46
唐津,11,予選特選,3,3784,中島友和,46,佐賀,54,B1,5.02,31.96,6.14,47.73,21,34.93,35,39.29
唐津,11,予選特選,4,5026,安河内健,27,佐賀,53,A1,6.32,48.72,5.83,44.09,60,30.95,31,50.00
唐津,11,予選特選,5,4320,峰　竜太,38,佐賀,51,A1,8.45,72.48,8.59,77.66,45,42.86,45,26.92
唐津,11,予選特選,6,3284,渡邊伸太,55,佐賀,53,A2,5.07,27.54,6.05,41.84,50,37.14,75,33.33
唐津,12,選抜戦（Ａ）,1,4503,上野真之,35,佐賀,52,A1,6.98,51.18,7.89,65.27,11,28.40,90,16.67
唐津,12,選抜戦（Ａ）,2,4294,古賀繁輝,36,佐賀,56,A2,6.27,42.05,7.48,61.42,39,30.59,33,42.86
唐津,12,選抜戦（Ａ）,3,4515,藤田浩人,36,佐賀,54,A2,5.52,33.33,5.63,38.69,36,44.85,74,22.22
唐津,12,選抜戦（Ａ）,4,4661,中島昂章,31,佐賀,51,A2,5.96,35.51,5.23,27.74,70,40.49,49,14.81
唐津,12,選抜戦（Ａ）,5,5121,定松勇樹,21,佐賀,53,A1,6.98,53.96,5.79,40.46,47,29.81,89,22.22
唐津,12,選抜戦（Ａ）,6,4734,安河内将,33,佐賀,52,A1,6.70,50.00,6.77,53.19,57,20.78,56,34.62
若松,1,一般戦,1,3679,飯島昌弘,50,埼玉,52,A1,6.41,40.65,6.63,37.50,37,33.72,70,34.68
若松,1,一般戦,2,3654,武田光史,49,福井,54,A1,6.07,40.34,5.18,36.36,60,25.00,65,30.60
若松,1,一般戦,3,3740,大澤普司,48,群馬,54,A1,6.06,41.98,0.00,0.00,50,41.86,28,34.24
若松,1,一般戦,4,3349,吉田一郎,55,長崎,52,A1,6.13,45.78,6.53,44.07,56,26.44,55,34.41
若松,1,一般戦,5,3888,山本英志,48,東京,51,A1,5.57,35.34,0.00,0.00,20,42.16,58,31.35
若松,1,一般戦,6,3576,白水勝也,50,福岡,51,A1,6.68,49.66,7.01,53.96,22,40.59,60,34.43
若松,2,一般戦,1,3713,伊藤誠二,48,愛知,54,A2,6.01,44.53,4.63,37.50,16,37.93,22,30.73
若松,2,一般戦,2,3983,須藤博倫,45,埼玉,51,A1,5.78,37.90,0.00,0.00,19,34.29,44,35.16
若松,2,一般戦,3,3612,馬袋義則,50,兵庫,53,A1,6.59,55.12,5.67,33.33,24,39.22,59,31.75
若松,2,一般戦,4,3744,徳増秀樹,48,静岡,53,A1,7.31,60.45,7.04,44.00,6,38.71,21,40.11
若松,2,一般戦,5,3915,繁野谷圭,48,大阪,52,A1,6.34,42.98,6.06,33.33,31,40.91,16,38.29
若松,2,一般戦,6,3265,今村暢孝,58,福岡,50,A1,6.77,59.65,7.21,61.33,47,38.55,68,32.07
若松,3,一般戦,1,3717,立間充宏,48,岡山,56,A1,6.66,49.17,6.70,45.00,15,30.85,38,39.11
若松,3,一般戦,2,3826,村田修次,49,東京,52,A1,5.91,39.84,6.86,42.86,59,30.95,15,30.98
若松,3,一般戦,3,3422,服部幸男,52,静岡,55,A1,6.54,47.00,0.00,0.00,10,38.71,49,35.00
若松,3,一般戦,4,3984,坂口　周,45,三重,54,A1,6.43,43.09,5.85,19.23,57,25.27,64,39.25
若松,3,一般戦,5,3582,吉川昭男,50,滋賀,53,A1,6.23,45.00,7.92,72.00,14,38.46,23,34.25
若松,3,一般戦,6,3978,齊藤　仁,45,東京,52,A1,7.10,56.39,6.72,33.33,4,35.35,11,33.15
若松,4,一般戦,1,3554,仲口博崇,50,愛知,53,A1,6.20,48.18,8.00,61.11,44,38.14,43,38.25
若松,4,一般戦,2,4002,古結　宏,45,兵庫,53,A1,6.65,47.01,6.30,43.18,46,33.67,18,35.03
若松,4,一般戦,3,3256,三角哲男,56,東京,50,A1,6.54,45.64,3.50,16.67,11,37.23,33,45.41
若松,4,一般戦,4,3837,秋山広一,47,香川,52,A1,6.13,42.86,6.61,52.27,38,30.43,26,37.71
若松,4,一般戦,5,3435,寺田千恵,54,岡山,46,A1,6.91,51.97,6.63,47.50,33,36.17,40,35.20
若松,4,一般戦,6,3557,太田和美,50,大阪,54,A1,6.66,42.86,7.23,46.15,18,40.19,66,37.22
若松,5,一般戦,1,3621,天野晶夫,49,愛知,54,A2,6.16,41.38,6.23,40.91,5,34.07,34,35.36
若松,5,一般戦,2,3888,山本英志,48,東京,51,A1,5.57,35.34,0.00,0.00,20,42.16,58,31.35
若松,5,一般戦,3,3349,吉田一郎,55,長崎,52,A1,6.13,45.78,6.53,44.07,56,26.44,55,34.41
若松,5,一般戦,4,3959,坪井康晴,45,静岡,53,A1,7.32,54.17,7.13,54.17,8,29.47,67,33.73
若松,5,一般戦,5,3024,西島義則,61,広島,56,A1,7.66,65.71,6.48,52.50,62,33.33,53,34.04
若松,5,一般戦,6,3813,佐藤大介,47,愛知,53,A1,6.13,42.24,6.25,45.00,2,40.86,74,30.98
若松,6,一般戦,1,3719,辻　栄蔵,48,広島,53,A1,7.10,45.69,7.79,65.75,53,43.37,72,30.73
若松,6,一般戦,2,3576,白水勝也,50,福岡,51,A1,6.68,49.66,7.01,53.96,22,40.59,60,34.43
若松,6,一般戦,3,3931,黒崎竜也,46,三重,50,A1,6.29,48.80,5.42,36.84,34,26.80,37,35.23
若松,6,一般戦,4,3612,馬袋義則,50,兵庫,53,A1,6.59,55.12,5.67,33.33,24,39.22,59,31.75
若松,6,一般戦,5,3740,大澤普司,48,群馬,54,A1,6.06,41.98,0.00,0.00,50,41.86,28,34.24
若松,6,一般戦,6,3983,須藤博倫,45,埼玉,51,A1,5.78,37.90,0.00,0.00,19,34.29,44,35.16
若松,7,一般戦,1,3716,石渡鉄兵,48,東京,54,A1,7.15,55.91,6.21,21.43,12,44.30,35,32.57
若松,7,一般戦,2,3265,今村暢孝,58,福岡,50,A1,6.77,59.65,7.21,61.33,47,38.55,68,32.07
若松,7,一般戦,3,3556,田中信一,50,大阪,52,A1,7.59,59.15,7.18,52.00,26,32.99,62,37.78
若松,7,一般戦,4,3654,武田光史,49,福井,54,A1,6.07,40.34,5.18,36.36,60,25.00,65,30.60
若松,7,一般戦,5,3679,飯島昌弘,50,埼玉,52,A1,6.41,40.65,6.63,37.50,37,33.72,70,34.68
若松,7,一般戦,6,3826,村田修次,49,東京,52,A1,5.91,39.84,6.86,42.86,59,30.95,15,30.98
若松,8,一般戦,1,4028,田村隆信,45,徳島,57,A1,6.96,45.28,7.60,53.33,41,33.96,69,46.99
若松,8,一般戦,2,3582,吉川昭男,50,滋賀,53,A1,6.23,45.00,7.92,72.00,14,38.46,23,34.25
若松,8,一般戦,3,3984,坂口　周,45,三重,54,A1,6.43,43.09,5.85,19.23,57,25.27,64,39.25
若松,8,一般戦,4,3256,三角哲男,56,東京,50,A1,6.54,45.64,3.50,16.67,11,37.23,33,45.41
若松,8,一般戦,5,3713,伊藤誠二,48,愛知,54,A2,6.01,44.53,4.63,37.50,16,37.93,22,30.73
若松,8,一般戦,6,3737,上平真二,49,広島,53,A1,6.64,41.30,7.58,60.94,28,39.36,75,34.29
若松,9,準優勝戦,1,3783,瓜生正義,47,福岡,53,A1,6.81,35.45,7.41,47.95,7,31.87,31,40.78
若松,9,準優勝戦,2,3721,守田俊介,47,滋賀,54,A1,6.85,54.65,6.68,48.00,9,30.11,57,34.62
若松,9,準優勝戦,3,3849,中岡正彦,45,香川,53,A1,6.56,44.05,5.91,44.12,45,38.46,56,35.48
若松,9,準優勝戦,4,3952,中澤和志,46,埼玉,54,A1,6.81,51.11,0.00,0.00,29,41.49,50,32.26
若松,9,準優勝戦,5,3415,松井　繁,53,大阪,51,A1,7.29,45.67,7.72,54.72,49,31.40,29,34.66
若松,9,準優勝戦,6,3159,江口晃生,58,群馬,53,A1,7.29,61.95,5.67,16.67,35,31.63,20,31.84
若松,10,準優勝戦,1,3590,濱野谷憲,49,東京,55,A1,7.35,51.80,6.93,40.00,51,30.00,19,33.87
若松,10,準優勝戦,2,3780,魚谷智之,47,兵庫,51,A1,7.00,51.13,8.07,50.00,52,29.59,63,35.14
若松,10,準優勝戦,3,3854,吉川元浩,50,兵庫,52,A1,7.55,60.82,7.54,60.42,39,27.08,24,31.82
若松,10,準優勝戦,4,3822,平尾崇典,50,岡山,49,A1,6.85,47.20,7.56,55.88,42,33.72,25,37.36
若松,10,準優勝戦,5,3743,林　美憲,48,徳島,52,A1,6.90,52.99,7.15,59.02,3,40.00,32,31.94
若松,10,準優勝戦,6,3779,原田幸哉,47,長崎,53,A1,6.75,40.00,7.89,62.86,23,30.61,61,34.62
若松,11,準優勝戦,1,4024,井口佳典,45,三重,52,A1,7.20,47.50,7.14,56.76,40,48.35,45,35.14
若松,11,準優勝戦,2,3388,今垣光太,53,福井,52,A1,7.62,62.22,7.35,60.00,30,43.02,42,41.67
若松,11,準優勝戦,3,3946,赤岩善生,47,愛知,56,A1,7.71,61.96,7.22,60.00,21,42.27,13,35.80
若松,11,準優勝戦,4,3532,柴田　光,51,群馬,54,A2,5.20,27.85,0.00,0.00,13,31.58,71,30.81
若松,11,準優勝戦,5,3987,後藤正宗,45,静岡,53,A1,5.52,34.04,7.24,57.14,54,33.33,54,32.31
若松,11,準優勝戦,6,4025,山本隆幸,45,兵庫,52,A1,6.44,40.43,6.77,50.00,61,48.05,48,34.39
若松,12,一般戦,1,3837,秋山広一,47,香川,52,A1,6.13,42.86,6.61,52.27,38,30.43,26,37.71
若松,12,一般戦,2,3716,石渡鉄兵,48,東京,54,A1,7.15,55.91,6.21,21.43,12,44.30,35,32.57
若松,12,一般戦,3,3915,繁野谷圭,48,大阪,52,A1,6.34,42.98,6.06,33.33,31,40.91,16,38.29
若松,12,一般戦,4,3717,立間充宏,48,岡山,56,A1,6.66,49.17,6.70,45.00,15,30.85,38,39.11
若松,12,一般戦,5,3621,天野晶夫,49,愛知,54,A2,6.16,41.38,6.23,40.91,5,34.07,34,35.36
若松,12,一般戦,6,3931,黒崎竜也,46,三重,50,A1,6.29,48.80,5.42,36.84,34,26.80,37,35.23
徳山,1,モーニング一,1,4033,伊藤将吉,44,静岡,53,A1,6.53,48.54,7.00,61.54,51,57.14,60,33.96
徳山,1,モーニング一,2,4911,片岡大地,27,東京,52,B1,4.49,16.49,3.30,20.00,37,37.04,28,33.94
徳山,1,モーニング一,3,4270,岸本雄貴,41,三重,63,B1,4.15,22.78,0.00,0.00,54,60.00,48,38.89
徳山,1,モーニング一,4,3776,横井健太,47,愛知,55,B1,4.14,20.16,3.00,0.00,52,48.15,77,38.89
徳山,1,モーニング一,5,3631,田添康介,53,長崎,53,B1,3.50,11.11,4.88,25.00,36,20.00,15,32.73
徳山,1,モーニング一,6,4260,中越博紀,39,香川,53,B1,5.66,38.30,5.01,28.00,69,27.78,67,33.94
徳山,2,モーニング一,1,3929,杢野誓良,47,愛知,52,B1,5.28,31.82,5.70,40.00,41,16.67,59,40.54
徳山,2,モーニング一,2,4218,吉川喜継,41,滋賀,52,A1,6.65,52.43,5.56,34.38,33,33.33,74,31.13
徳山,2,モーニング一,3,3680,森林　太,50,長崎,55,B1,4.01,20.00,4.18,22.33,48,37.04,30,25.45
徳山,2,モーニング一,4,4189,川上　剛,41,福岡,56,A1,6.11,39.72,7.34,62.07,31,39.29,57,41.67
徳山,2,モーニング一,5,4150,山田雄太,41,静岡,58,A2,5.54,40.74,5.67,41.67,45,19.23,55,27.03
徳山,2,モーニング一,6,4252,松下哲也,39,福岡,53,B1,4.05,16.25,5.60,33.33,65,42.11,46,38.89
徳山,3,モーニング一,1,4227,安達裕樹,40,三重,53,A1,7.19,51.81,4.33,0.00,57,61.11,38,27.93
徳山,3,モーニング一,2,3606,川北浩貴,51,滋賀,52,A2,6.55,50.42,6.36,50.00,49,25.93,14,23.42
徳山,3,モーニング一,3,3559,水長照雄,55,山口,54,B1,4.47,29.41,4.68,28.57,64,11.11,24,29.73
徳山,3,モーニング一,4,3939,渡辺真至,45,愛知,53,A2,6.06,36.27,0.00,0.00,59,60.87,66,34.86
徳山,3,モーニング一,5,4360,庄司孝輔,38,静岡,54,A2,5.05,29.67,4.00,0.00,29,18.18,40,40.91
徳山,3,モーニング一,6,5234,塚越海斗,24,群馬,53,B1,2.49,5.56,0.00,0.00,28,26.92,62,28.18
徳山,4,モーニング一,1,3257,田頭　実,56,福岡,51,A1,6.48,53.42,7.14,57.14,46,34.48,18,26.36
徳山,4,モーニング一,2,3655,本橋克洋,49,群馬,54,A2,6.01,36.52,6.55,45.45,70,47.37,50,41.67
徳山,4,モーニング一,3,4979,中野夢斗,26,愛知,54,B1,5.15,31.65,4.90,40.00,27,42.31,64,28.43
徳山,4,モーニング一,4,3866,木山誠一,48,岡山,57,B1,3.94,21.74,4.14,20.93,50,18.52,16,36.94
徳山,4,モーニング一,5,5276,大島隆乃,20,福岡,52,B2,1.74,0.00,0.00,0.00,43,35.71,17,28.97
徳山,4,モーニング一,6,4567,上村慎太,35,山口,51,B1,4.15,21.79,4.91,32.76,44,40.00,68,30.91
徳山,5,一般,1,3776,横井健太,47,愛知,55,B1,4.14,20.16,3.00,0.00,52,48.15,77,38.89
徳山,5,一般,2,4754,松尾　充,34,三重,50,A2,5.72,35.90,5.50,36.36,39,33.33,26,29.73
徳山,5,一般,3,4121,富永修一,41,福岡,52,A2,5.20,32.58,5.59,40.82,56,22.22,36,27.52
徳山,5,一般,4,3684,清水攻二,49,山口,52,A2,5.60,32.23,5.93,41.32,32,29.63,75,36.94
徳山,5,一般,5,4686,丸野一樹,31,滋賀,54,A1,6.50,43.27,6.78,44.44,55,29.17,54,26.17
徳山,5,一般,6,4557,松尾光広,33,岡山,56,B1,4.44,21.52,3.80,10.87,68,44.44,58,41.12
徳山,6,一般,1,4113,木村浩士,42,群馬,55,B1,5.20,34.68,0.00,0.00,62,22.22,65,48.15
徳山,6,一般,2,3918,深井利寿,48,滋賀,51,A2,6.26,43.66,6.27,40.00,34,56.00,61,22.02
徳山,6,一般,3,4261,岡　祐臣,39,三重,54,A1,6.09,42.57,6.17,52.17,66,27.78,43,38.18
徳山,6,一般,4,5219,森口和紀,22,福岡,53,B2,2.20,4.00,1.27,0.00,38,30.77,29,25.23
徳山,6,一般,5,4494,河合佑樹,36,静岡,51,A1,7.48,57.26,6.64,54.55,30,37.04,70,31.53
徳山,6,一般,6,4327,加藤　翔,39,静岡,53,B1,4.42,23.08,0.00,0.00,42,16.00,76,21.88
徳山,7,一般,1,4817,渡邉　翼,31,山口,51,B1,5.67,37.07,5.47,35.96,35,26.67,56,40.54
徳山,7,一般,2,3680,森林　太,50,長崎,55,B1,4.01,20.00,4.18,22.33,48,37.04,30,25.45
徳山,7,一般,3,4911,片岡大地,27,東京,52,B1,4.49,16.49,3.30,20.00,37,37.04,28,33.94
徳山,7,一般,4,4260,中越博紀,39,香川,53,B1,5.66,38.30,5.01,28.00,69,27.78,67,33.94
徳山,7,一般,5,5234,塚越海斗,24,群馬,53,B1,2.49,5.56,0.00,0.00,28,26.92,62,28.18
徳山,7,一般,6,3315,広瀬聖仁,57,愛知,54,B1,4.51,23.08,0.00,0.00,47,47.37,23,43.24
徳山,8,一般,1,3866,木山誠一,48,岡山,57,B1,3.94,21.74,4.14,20.93,50,18.52,16,36.94
徳山,8,一般,2,4252,松下哲也,39,福岡,53,B1,4.05,16.25,5.60,33.33,65,42.11,46,38.89
徳山,8,一般,3,4150,山田雄太,41,静岡,58,A2,5.54,40.74,5.67,41.67,45,19.23,55,27.03
徳山,8,一般,4,4852,川原祐明,28,香川,52,A1,6.36,41.48,6.00,30.00,61,41.67,20,34.86
徳山,8,一般,5,4362,土屋智則,38,群馬,53,A1,7.66,65.60,6.67,44.44,40,60.71,49,25.23
徳山,8,一般,6,5276,大島隆乃,20,福岡,52,B2,1.74,0.00,0.00,0.00,43,35.71,17,28.97
徳山,9,一般,1,4139,丹下　健,42,愛知,54,B1,4.71,22.81,4.11,22.22,63,17.65,12,39.09
徳山,9,一般,2,4643,近江翔吾,30,香川,52,A1,6.65,40.66,6.53,48.39,58,33.33,13,40.54
徳山,9,一般,3,4360,庄司孝輔,38,静岡,54,A2,5.05,29.67,4.00,0.00,29,18.18,40,40.91
徳山,9,一般,4,4828,松山将吾,28,滋賀,51,A1,6.43,42.62,5.57,34.78,67,17.65,33,37.27
徳山,9,一般,5,4121,富永修一,41,福岡,52,A2,5.20,32.58,5.59,40.82,56,22.22,36,27.52
徳山,9,一般,6,4270,岸本雄貴,41,三重,63,B1,4.15,22.78,0.00,0.00,54,60.00,48,38.89
徳山,10,準優勝戦,1,4494,河合佑樹,36,静岡,51,A1,7.48,57.26,6.64,54.55,30,37.04,70,31.53
徳山,10,準優勝戦,2,3257,田頭　実,56,福岡,51,A1,6.48,53.42,7.14,57.14,46,34.48,18,26.36
徳山,10,準優勝戦,3,4189,川上　剛,41,福岡,56,A1,6.11,39.72,7.34,62.07,31,39.29,57,41.67
徳山,10,準優勝戦,4,4033,伊藤将吉,44,静岡,53,A1,6.53,48.54,7.00,61.54,51,57.14,60,33.96
徳山,10,準優勝戦,5,3929,杢野誓良,47,愛知,52,B1,5.28,31.82,5.70,40.00,41,16.67,59,40.54
徳山,10,準優勝戦,6,4754,松尾　充,34,三重,50,A2,5.72,35.90,5.50,36.36,39,33.33,26,29.73
徳山,11,準優勝戦,1,4686,丸野一樹,31,滋賀,54,A1,6.50,43.27,6.78,44.44,55,29.17,54,26.17
徳山,11,準優勝戦,2,3684,清水攻二,49,山口,52,A2,5.60,32.23,5.93,41.32,32,29.63,75,36.94
徳山,11,準優勝戦,3,4113,木村浩士,42,群馬,55,B1,5.20,34.68,0.00,0.00,62,22.22,65,48.15
徳山,11,準優勝戦,4,4261,岡　祐臣,39,三重,54,A1,6.09,42.57,6.17,52.17,66,27.78,43,38.18
徳山,11,準優勝戦,5,4817,渡邉　翼,31,山口,51,B1,5.67,37.07,5.47,35.96,35,26.67,56,40.54
徳山,11,準優勝戦,6,3606,川北浩貴,51,滋賀,52,A2,6.55,50.42,6.36,50.00,49,25.93,14,23.42
徳山,12,準優勝戦,1,4362,土屋智則,38,群馬,53,A1,7.66,65.60,6.67,44.44,40,60.71,49,25.23
徳山,12,準優勝戦,2,3939,渡辺真至,45,愛知,53,A2,6.06,36.27,0.00,0.00,59,60.87,66,34.86
徳山,12,準優勝戦,3,4227,安達裕樹,40,三重,53,A1,7.19,51.81,4.33,0.00,57,61.11,38,27.93
徳山,12,準優勝戦,4,3655,本橋克洋,49,群馬,54,A2,6.01,36.52,6.55,45.45,70,47.37,50,41.67
徳山,12,準優勝戦,5,4218,吉川喜継,41,滋賀,52,A1,6.65,52.43,5.56,34.38,33,33.33,74,31.13
徳山,12,準優勝戦,6,3918,深井利寿,48,滋賀,51,A2,6.26,43.66,6.27,40.00,34,56.00,61,22.02
宮島,1,ファーストＢ,1,5068,前田　滉,23,愛知,51,A1,6.47,43.01,5.20,40.00,46,37.70,13,28.32
宮島,1,ファーストＢ,2,4656,大崎　翔,35,兵庫,60,B1,4.51,25.26,4.80,26.83,23,40.68,37,27.03
宮島,1,ファーストＢ,3,4780,マイケ田,37,東京,52,B1,3.80,18.84,0.00,0.00,53,20.00,56,23.91
宮島,1,ファーストＢ,4,3600,玄馬　徹,53,岡山,53,B1,3.85,19.05,4.63,22.86,44,26.96,46,31.75
宮島,1,ファーストＢ,5,4474,渡辺　崇,35,福岡,56,B1,5.06,26.73,6.27,43.33,38,28.72,28,27.19
宮島,1,ファーストＢ,6,3771,折下寛法,49,東京,51,A2,5.83,32.65,6.10,30.00,64,29.01,38,36.44
宮島,2,予選,1,3411,池上隆行,53,広島,51,B1,4.11,21.35,4.51,20.90,20,23.76,19,41.96
